,subject,condition,validity,cue side,cue-target interval,reaction time,response
0,03,60,valid,right,1.499914,674.346,correct
1,03,60,valid,right,1.033389,535.099,correct
2,03,60,invalid,right,1.666713,677.154,correct
3,03,60,invalid,right,0.699744,642.355,correct
4,03,60,valid,left,1.199835,649.9979999999999,correct
5,03,60,valid,right,0.983079,453.68,correct
6,03,60,valid,right,1.51664,466.66200000000003,correct
7,03,60,valid,left,0.916837,478.815,correct
8,03,60,invalid,left,0.566568,659.85,correct
9,03,60,valid,right,0.633505,675.943,correct
10,03,60,valid,right,1.300012,499.293,correct
11,03,60,valid,right,1.316899,610.774,correct
12,03,60,valid,right,1.149888,480.238,correct
13,03,60,invalid,right,1.550185,729.127,correct
14,03,60,valid,right,0.56655,632.537,correct
15,03,60,valid,left,1.450249,526.5640000000001,correct
16,03,60,invalid,right,1.01678,485.62699999999995,correct
17,03,60,invalid,right,0.749948,398.872,correct
18,03,60,valid,right,1.216741,424.09799999999996,correct
19,03,60,valid,right,1.666548,552.44,correct
20,03,60,invalid,right,0.899936,550.957,correct
21,03,60,valid,left,1.533443,460.036,correct
22,03,60,valid,right,0.516386,1000.0,incorrect
23,03,60,invalid,left,1.33335,413.408,correct
24,03,60,invalid,right,0.666573,509.63199999999995,correct
25,03,60,valid,right,0.816573,518.5110000000001,correct
26,03,60,invalid,right,1.049976,412.696,correct
27,03,60,valid,right,0.966718,445.187,correct
28,03,60,invalid,right,0.949984,503.406,correct
29,03,60,invalid,right,1.216583,595.795,correct
30,03,60,valid,right,1.333506,505.1290000000001,correct
31,03,60,invalid,right,1.333326,1000.0,incorrect
32,03,60,valid,left,1.050005,482.38,correct
33,03,60,valid,left,1.599983,530.887,correct
34,03,60,valid,left,1.333353,310.527,correct
35,03,60,valid,left,0.616674,531.635,incorrect
36,03,60,invalid,left,0.733261,603.979,correct
37,03,60,valid,right,1.366534,504.75000000000006,correct
38,03,60,valid,left,1.25004,569.558,correct
39,03,60,invalid,left,1.533209,563.77,correct
40,03,60,valid,right,1.533428,507.27299999999997,correct
41,03,60,invalid,right,1.300339,384.337,correct
42,03,60,valid,right,0.549969,510.62399999999997,correct
43,03,60,valid,left,0.700171,526.806,correct
44,03,60,invalid,left,1.383413,416.562,correct
45,03,60,valid,right,0.899993,466.856,correct
46,03,60,invalid,right,1.383348,505.865,correct
47,03,60,valid,right,0.566784,539.1669999999999,correct
48,03,60,invalid,left,0.583504,631.538,correct
49,03,60,invalid,right,1.616635,572.645,correct
50,03,60,valid,right,0.933325,1000.0,incorrect
51,03,60,invalid,right,0.799933,562.751,correct
52,03,60,invalid,left,0.849916,452.921,correct
53,03,60,invalid,right,1.200008,473.642,correct
54,03,60,valid,left,1.300232,535.347,correct
55,03,60,valid,right,0.766613,417.67900000000003,correct
56,03,60,valid,left,0.783237,389.799,correct
57,03,60,valid,left,0.516653,437.313,correct
58,03,60,invalid,right,1.183192,386.00600000000003,correct
59,03,60,invalid,left,1.616927,372.47799999999995,correct
60,03,60,valid,left,1.649945,604.3929999999999,correct
61,03,60,valid,left,0.899816,440.021,correct
62,03,60,valid,right,1.083326,367.935,correct
63,03,60,invalid,right,0.633517,443.299,correct
64,03,60,valid,right,1.500096,368.35200000000003,correct
65,03,60,valid,right,1.683349,446.004,correct
66,03,60,invalid,right,1.450013,556.356,correct
67,03,60,invalid,right,0.88323,477.527,correct
68,03,60,valid,left,1.216684,485.053,correct
69,03,60,invalid,right,1.016635,425.156,correct
70,03,60,valid,right,1.433358,393.814,incorrect
71,03,60,valid,left,1.149888,492.336,correct
72,03,60,valid,right,1.250232,469.61199999999997,correct
73,03,60,invalid,left,1.349944,572.3829999999999,correct
74,03,60,valid,left,1.48346,401.352,correct
75,03,60,valid,right,0.949856,396.38,correct
76,03,60,valid,right,0.850019,670.206,correct
77,03,60,valid,left,0.633528,433.20300000000003,correct
78,03,60,valid,left,1.050194,445.412,correct
79,03,60,invalid,left,0.833522,376.91200000000003,correct
80,03,60,valid,left,0.783472,352.654,incorrect
81,03,60,invalid,left,1.433284,527.344,correct
82,03,60,invalid,left,1.266604,468.403,correct
83,03,60,valid,right,0.750042,662.2090000000001,correct
84,03,60,invalid,right,1.316687,581.5749999999999,correct
85,03,60,invalid,left,1.366527,403.231,correct
86,03,60,invalid,right,0.933563,570.638,correct
87,03,60,valid,left,0.86687,387.826,correct
88,03,60,valid,left,0.966716,446.355,correct
89,03,60,invalid,right,1.466595,532.813,correct
90,03,60,invalid,left,0.64992,458.865,correct
91,03,60,valid,left,0.566791,362.713,correct
92,03,60,invalid,right,1.399946,323.146,correct
93,03,60,valid,left,1.150062,497.498,correct
94,03,60,valid,left,0.666682,450.81399999999996,correct
95,03,60,valid,left,1.466621,388.87899999999996,correct
96,03,60,invalid,left,0.816626,463.676,correct
97,03,60,valid,left,1.349825,459.406,correct
98,03,60,valid,right,1.383323,386.79999999999995,correct
99,03,60,valid,left,1.083536,551.712,correct
100,03,60,invalid,right,0.71654,496.75399999999996,correct
101,03,60,invalid,left,1.599847,422.026,correct
102,03,60,valid,right,0.783165,347.774,correct
103,03,60,valid,right,0.683298,413.419,correct
104,03,60,valid,right,1.583374,444.407,correct
105,03,60,valid,right,0.816854,538.627,correct
106,03,60,valid,left,1.666593,419.31600000000003,correct
107,03,60,valid,left,1.516655,498.259,correct
108,03,60,valid,left,1.383191,411.168,correct
109,03,60,valid,left,1.066437,352.103,incorrect
110,03,60,invalid,left,1.183336,506.29999999999995,correct
111,03,60,valid,right,1.000028,482.821,correct
112,03,60,valid,right,1.066642,463.346,correct
113,03,60,valid,right,1.249988,413.153,correct
114,03,60,valid,right,0.61662,440.51,correct
115,03,60,valid,left,1.033189,613.88,correct
116,03,60,valid,left,1.3834,412.06399999999996,correct
117,03,60,valid,left,0.883266,427.058,correct
118,03,60,valid,right,1.600028,627.19,correct
119,03,60,invalid,right,0.683353,555.596,correct
